Compound.ID,Name,Super.Class,Class,Sub.Class,Best.Match,Annotation_Confidence,Exogenous_Flag,Flag_Reason
Amide-Pos-001016,3-Ketocarbofuran,Organoheterocyclic compounds,Benzofurans,NA,80.4,high,environmental_exposure,Known synthetic pharmaceutical or steroid (project notes)
Amide-Neg-000323,6-Aminocaproic Acid,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,99,high,environmental_exposure,Known synthetic pharmaceutical or steroid (project notes)
Amide-Pos-000636,6-Chloropicolinic Acid,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives,93.3,high,environmental_exposure,Known synthetic pharmaceutical or steroid (project notes)
Amide-Neg-000402,Allopurinol,Organoheterocyclic compounds,Pyrazolopyrimidines,"Pyrazolo[3,4-d]pyrimidines",96.7,high,environmental_exposure,Known synthetic pharmaceutical or steroid (project notes)
Amide-Pos-000167,Amifampridine,Organoheterocyclic compounds,Pyridines and derivatives,Aminopyridines and derivatives,92.8,high,environmental_exposure,Known synthetic pharmaceutical or steroid (project notes)
C18-Pos-000938,Caffeine,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,98.9,high,environmental_exposure,Name matches pharmaceutical or pesticide keyword pattern
C8-Pos-000022,Chalcone,Phenylpropanoids and polyketides,"Linear 1,3-diarylpropanoids",Chalcones and dihydrochalcones,93.8,high,environmental_exposure,Known synthetic pharmaceutical or steroid (project notes)
C18-Pos-000645,Diethyl Phosphate,Organic acids and derivatives,Organic phosphoric acids and derivatives,Phosphate esters,95.8,high,environmental_exposure,Known synthetic pharmaceutical or steroid (project notes)
C8-Pos-001474,Diosgenin,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids,89.4,high,environmental_exposure,Known synthetic pharmaceutical or steroid (project notes)
C8-Pos-000786,Fentanyl,Organoheterocyclic compounds,Piperidines,Fentanyls,81.7,high,environmental_exposure,Known synthetic pharmaceutical or steroid (project notes)
C18-Pos-001332,Hypaphorine,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",99,high,environmental_exposure,Known synthetic pharmaceutical or steroid (project notes)
C8-Pos-000080,Ketamine,Benzenoids,Benzene and substituted derivatives,Halobenzenes,92.6,high,environmental_exposure,Known synthetic pharmaceutical or steroid (project notes)
C8-Pos-000141,Lidocaine,Benzenoids,Benzene and substituted derivatives,Xylenes,99.9,high,environmental_exposure,Known synthetic pharmaceutical or steroid (project notes)
Amide-Neg-000158,Maleic Hydrazide,Organoheterocyclic compounds,Diazines,Pyridazines and derivatives,91.5,high,environmental_exposure,Known synthetic pharmaceutical or steroid (project notes)
C8-Pos-000682,Midazolam,Organoheterocyclic compounds,Benzodiazepines,"1,4-benzodiazepines",94.4,high,environmental_exposure,Known synthetic pharmaceutical or steroid (project notes)
C18-Pos-001062,Minoxidil,Organic nitrogen compounds,Organonitrogen compounds,Amines,94.5,high,environmental_exposure,Known synthetic pharmaceutical or steroid (project notes)
C8-Pos-000768,Penicillin G,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",99.3,high,environmental_exposure,Known synthetic pharmaceutical or steroid (project notes)
Amide-Pos-001548,Phthalylsulfathiazole,Benzenoids,Benzene and substituted derivatives,Anilides,86.8,high,environmental_exposure,Known synthetic pharmaceutical or steroid (project notes)
C8-Pos-000414,Piperine,Alkaloids and derivatives,NA,NA,98.5,high,environmental_exposure,Known synthetic pharmaceutical or steroid (project notes)
Amide-Pos-000448,Proline Betaine,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",81.7,high,environmental_exposure,Known synthetic pharmaceutical or steroid (project notes)
C18-Pos-000820,Propham,Benzenoids,Benzene and substituted derivatives,Phenylcarbamic acid esters,83.7,high,environmental_exposure,Known synthetic pharmaceutical or steroid (project notes)
Amide-Pos-001135,Risedronic Acid,Organic acids and derivatives,Organic phosphonic acids and derivatives,Bisphosphonates,92.9,high,environmental_exposure,Known synthetic pharmaceutical or steroid (project notes)
C8-Pos-001317,Solanidine,Lipids and lipid-like molecules,Steroids and steroid derivatives,Steroidal alkaloids,86.4,high,environmental_exposure,Known synthetic pharmaceutical or steroid (project notes)
C8-Pos-001809,"2-(2h-Benzotriazol-2-Yl)-4,6-Bis(1-Methyl-1-Phenylethyl)Phenol",Phenylpropanoids and polyketides,Diarylheptanoids,Linear diarylheptanoids,94.3,high,instrument_contaminant,Known instrument contaminant (project notes or NIST14 review)
Amide-Neg-000432,2-Methylbenzoic Acid,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,87.7,high,instrument_contaminant,Known instrument contaminant (project notes or NIST14 review)
Amide-Pos-000094,3-(Ethenyloxy)Propan-1-Amine,Organic oxygen compounds,Organooxygen compounds,NA,83.6,high,instrument_contaminant,Known instrument contaminant (project notes or NIST14 review)
Amide-Pos-000244,3-Isopropoxypropylamine,Organic oxygen compounds,Organooxygen compounds,Ethers,88.8,high,instrument_contaminant,Known instrument contaminant (project notes or NIST14 review)
C8-Neg-000519,4-Dodecylbenzenesulfonic Acid,Benzenoids,Benzene and substituted derivatives,Benzenesulfonic acids and derivatives,98,high,instrument_contaminant,Known instrument contaminant (project notes or NIST14 review)
Amide-Neg-000647,"6-Chloro-5-Methyl-1h-1,2,3-Benzotriazole",Organoheterocyclic compounds,Benzotriazoles,NA,96.9,high,instrument_contaminant,Known instrument contaminant (project notes or NIST14 review)
C18-Pos-002968,Acetyltributyl Citrate,Organic acids and derivatives,Carboxylic acids and derivatives,Tetracarboxylic acids and derivatives,98.1,high,instrument_contaminant,Known instrument contaminant (project notes or NIST14 review)
C18-Pos-001292,"Bis(2,2,6,6-Tetramethyl-4-Piperidyl)Sebacate",Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,87.3,high,instrument_contaminant,Known instrument contaminant (project notes or NIST14 review)
C8-Pos-001101,Bis(2-Ethylhexyl) Adipate,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,99.5,high,instrument_contaminant,Known instrument contaminant (project notes or NIST14 review)
C8-Pos-001250,Bis(2-Ethylhexyl) Phthalate,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,99.5,high,instrument_contaminant,Name matches industrial or contaminant keyword pattern
C8-Pos-001597,Bis(2-Ethylhexyl) Sebacate,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,87.4,high,instrument_contaminant,Known instrument contaminant (project notes or NIST14 review)
C8-Pos-001503,"Bis(3,5,5-Trimethylhexyl) Phthalate",Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,99.1,high,instrument_contaminant,Name matches industrial or contaminant keyword pattern
C8-Pos-001297,Bis(4-Ethylbenzylidene)Sorbitol,Organoheterocyclic compounds,Dioxanes,"1,3-dioxanes",99.4,high,instrument_contaminant,Known instrument contaminant (project notes or NIST14 review)
C8-Pos-001076,Bis(Methylbenzylidene)Sorbitol,Phenylpropanoids and polyketides,Cinnamyl alcohols,NA,98.8,high,instrument_contaminant,Known instrument contaminant (project notes or NIST14 review)
C8-Pos-000974,Bisphenol A Diglycidyl Ether,Benzenoids,Benzene and substituted derivatives,Diphenylmethanes,95.9,high,instrument_contaminant,Name matches industrial or contaminant keyword pattern
C18-Pos-000207,Caprolactam,Organoheterocyclic compounds,Lactams,Caprolactams,95.8,high,instrument_contaminant,Known instrument contaminant (project notes or NIST14 review)
C8-Pos-000350,Citroflex 2,Organic acids and derivatives,Carboxylic acids and derivatives,Tricarboxylic acids and derivatives,98.7,high,instrument_contaminant,Known instrument contaminant (project notes or NIST14 review)
C8-Pos-001006,Citroflex 4,Organic acids and derivatives,Carboxylic acids and derivatives,Tricarboxylic acids and derivatives,99.1,high,instrument_contaminant,Known instrument contaminant (project notes or NIST14 review)
C8-Pos-001356,Citroflex A-4,Organic acids and derivatives,Carboxylic acids and derivatives,Tetracarboxylic acids and derivatives,98,high,instrument_contaminant,Known instrument contaminant (project notes or NIST14 review)
C18-Pos-002221,Cocamidopropyl Betaine,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",87.9,high,instrument_contaminant,Known instrument contaminant (project notes or NIST14 review)
Amide-Pos-000085,Cyclohexylamine,Organic nitrogen compounds,Organonitrogen compounds,Cyclohexylamines,91.8,high,instrument_contaminant,Known instrument contaminant (project notes or NIST14 review)
